x,y,value,nota,nota1
0,0,21,'0 <b>0%</b>','0 <b>0%</b>
1,0,21,'0 <b>0%</b>','0 <b>0%</b>
2,0,21,'0 <b>0%</b>','0 <b>0%</b>
3,0,21,'0 <b>0%</b>','0 <b>0%</b>
4,0,21,'0 <b>0%</b>','0 <b>0%</b>
5,0,21,'0 <b>0%</b>','0 <b>0%</b>
6,0,21,'0 <b>0%</b>','0 <b>0%</b>
7,0,21,'0 <b>0%</b>','0 <b>0%</b>
8,0,21,'0 <b>0%</b>','0 <b>0%</b>
9,0,47,'PS <b>64,88%</b>','PPD/PSD <b>20,78%</b>
10,0,47,'PS <b>54,6%</b>','PPD/PSD <b>28,6%</b>
11,0,47,'PS <b>62,7%</b>','PPD/PSD <b>17,6%</b>
12,0,47,'PS <b>56,75%</b>','PPD/PSD <b>18,34%</b>
13,0,47,'PS <b>50,6%</b>','PPD/PSD <b>26,37%</b>
14,0,49,'PS <b>37,59%</b>','PPD/PSD.CDS-PP <b>34,51%</b>
15,0,47,'PS <b>46,11%</b>','PPD/PSD <b>23,9%</b>
